document_type,in_domain,out_domain,bidding_zone,business_type,psr_type,unit,currency,timestamp,value,value_tag,position
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-09-30 22:00:00+00:00,3.31,price.amount,1
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-09-30 23:00:00+00:00,0.08,price.amount,2
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-01 00:00:00+00:00,0.05,price.amount,3
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-01 01:00:00+00:00,0.02,price.amount,4
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-01 02:00:00+00:00,8.0,price.amount,5
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-01 03:00:00+00:00,25.25,price.amount,6
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-01 04:00:00+00:00,33.35,price.amount,7
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-01 05:00:00+00:00,38.03,price.amount,8
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-01 06:00:00+00:00,41.32,price.amount,9
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-01 07:00:00+00:00,41.51,price.amount,10
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-01 08:00:00+00:00,38.65,price.amount,11
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-01 09:00:00+00:00,36.04,price.amount,12
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-01 10:00:00+00:00,36.0,price.amount,13
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-01 11:00:00+00:00,36.03,price.amount,14
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-01 12:00:00+00:00,36.01,price.amount,15
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-01 13:00:00+00:00,39.71,price.amount,16
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-01 14:00:00+00:00,43.56,price.amount,17
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-01 15:00:00+00:00,49.92,price.amount,18
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-01 16:00:00+00:00,52.83,price.amount,19
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-01 17:00:00+00:00,54.88,price.amount,20
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-01 18:00:00+00:00,47.77,price.amount,21
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-01 19:00:00+00:00,44.99,price.amount,22
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-01 20:00:00+00:00,41.89,price.amount,23
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-01 21:00:00+00:00,36.36,price.amount,24
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-01 22:00:00+00:00,40.03,price.amount,1
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-01 23:00:00+00:00,39.6,price.amount,2
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-02 00:00:00+00:00,38.99,price.amount,3
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-02 01:00:00+00:00,39.73,price.amount,4
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-02 02:00:00+00:00,40.26,price.amount,5
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-02 03:00:00+00:00,42.35,price.amount,6
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-02 04:00:00+00:00,50.22,price.amount,7
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-02 05:00:00+00:00,81.12,price.amount,8
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-02 06:00:00+00:00,122.54,price.amount,9
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-02 07:00:00+00:00,91.3,price.amount,10
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-02 08:00:00+00:00,61.93,price.amount,11
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-02 09:00:00+00:00,51.36,price.amount,12
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-02 10:00:00+00:00,54.9,price.amount,13
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-02 11:00:00+00:00,50.47,price.amount,14
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-02 12:00:00+00:00,50.34,price.amount,15
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-02 13:00:00+00:00,50.01,price.amount,16
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-02 14:00:00+00:00,51.75,price.amount,17
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-02 15:00:00+00:00,59.87,price.amount,18
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-02 16:00:00+00:00,57.29,price.amount,19
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-02 17:00:00+00:00,53.32,price.amount,20
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-02 18:00:00+00:00,51.11,price.amount,21
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-02 19:00:00+00:00,46.99,price.amount,22
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-02 20:00:00+00:00,43.09,price.amount,23
A44,10YNO-1--------2,10YNO-1--------2,,A62,,,EUR,2024-10-02 21:00:00+00:00,41.41,price.amount,24
